c,r,lam,k3,k4,twice_lam,j,pr930_wall,removed_width,support_floor
317,63284,28580,96772,99335,57160,99335,135580,36245,172144
318,63283,28579,96771,99333,57158,99333,135575,36242,172142
319,63282,28578,96769,99331,57156,99331,135570,36239,172141
320,63281,28577,96767,99329,57154,99329,135565,36236,172139
321,63280,28576,96765,99327,57152,99327,135560,36233,172138
322,63279,28575,96764,99325,57150,99325,135555,36230,172136
323,63278,28574,96762,99323,57148,99323,135550,36227,172135
324,63277,28573,96760,99321,57146,99321,135545,36224,172133
325,63276,28572,96759,99319,57144,99319,135540,36221,172132
326,63275,28571,96757,99316,57142,99316,135535,36219,172131
327,63274,28570,96755,99314,57140,99314,135530,36216,172129
328,63273,28569,96754,99312,57138,99312,135525,36213,172128
329,63272,28568,96752,99310,57136,99310,135520,36210,172126
330,63271,28567,96750,99308,57134,99308,135515,36207,172125
331,63270,28566,96749,99306,57132,99306,135510,36204,172123
332,63269,28565,96747,99304,57130,99304,135505,36201,172122
333,63268,28564,96745,99302,57128,99302,135500,36198,172120
334,63267,28563,96743,99300,57126,99300,135495,36195,172119
335,63266,28562,96742,99298,57124,99298,135490,36192,172117
336,63265,28561,96740,99296,57122,99296,135485,36189,172116
337,63264,28560,96738,99294,57120,99294,135480,36186,172114
338,63263,28559,96737,99291,57118,99291,135475,36184,172113
339,63262,28558,96735,99289,57116,99289,135470,36181,172112
340,63261,28557,96733,99287,57114,99287,135465,36178,172110
341,63260,28556,96732,99285,57112,99285,135460,36175,172109
342,63259,28555,96730,99283,57110,99283,135455,36172,172107
343,63258,28554,96728,99281,57108,99281,135450,36169,172106
344,63257,28553,96727,99279,57106,99279,135445,36166,172104
345,63256,28552,96725,99277,57104,99277,135440,36163,172103
346,63255,28551,96723,99275,57102,99275,135435,36160,172101
347,63254,28550,96721,99273,57100,99273,135430,36157,172100
348,63253,28549,96720,99271,57098,99271,135425,36154,172098
349,63252,28548,96718,99268,57096,99268,135420,36152,172097
350,63251,28547,96716,99266,57094,99266,135415,36149,172096
351,63250,28546,96715,99264,57092,99264,135410,36146,172094
352,63249,28545,96713,99262,57090,99262,135405,36143,172093
353,63248,28544,96711,99260,57088,99260,135400,36140,172091
354,63247,28543,96710,99258,57086,99258,135395,36137,172090
355,63246,28542,96708,99256,57084,99256,135390,36134,172088
356,63245,28541,96706,99254,57082,99254,135385,36131,172087
357,63244,28540,96705,99252,57080,99252,135380,36128,172085
358,63243,28539,96703,99250,57078,99250,135375,36125,172084
359,63242,28538,96701,99248,57076,99248,135370,36122,172082
360,63241,28537,96699,99245,57074,99245,135365,36120,172081
361,63240,28536,96698,99243,57072,99243,135360,36117,172080
362,63239,28535,96696,99241,57070,99241,135355,36114,172078
363,63238,28534,96694,99239,57068,99239,135350,36111,172077
364,63237,28533,96693,99237,57066,99237,135345,36108,172075
365,63236,28532,96691,99235,57064,99235,135340,36105,172074
366,63235,28531,96689,99233,57062,99233,135335,36102,172072
367,63234,28530,96688,99231,57060,99231,135330,36099,172071
368,63233,28529,96686,99229,57058,99229,135325,36096,172069
369,63232,28528,96684,99227,57056,99227,135320,36093,172068
370,63231,28527,96682,99225,57054,99225,135315,36090,172066
371,63230,28526,96681,99223,57052,99223,135310,36087,172065
372,63229,28525,96679,99220,57050,99220,135305,36085,172064
373,63228,28524,96677,99218,57048,99218,135300,36082,172062
374,63227,28523,96676,99216,57046,99216,135295,36079,172061
375,63226,28522,96674,99214,57044,99214,135290,36076,172059
376,63225,28521,96672,99212,57042,99212,135285,36073,172058
377,63224,28520,96671,99210,57040,99210,135280,36070,172056
378,63223,28519,96669,99208,57038,99208,135275,36067,172055
379,63222,28518,96667,99206,57036,99206,135270,36064,172053
380,63221,28517,96666,99204,57034,99204,135265,36061,172052
381,63220,28516,96664,99202,57032,99202,135260,36058,172050
382,63219,28515,96662,99200,57030,99200,135255,36055,172049
383,63218,28514,96660,99197,57028,99197,135250,36053,172048
384,63217,28513,96659,99195,57026,99195,135245,36050,172046
385,63216,28512,96657,99193,57024,99193,135240,36047,172045
386,63215,28511,96655,99191,57022,99191,135235,36044,172043
387,63214,28510,96654,99189,57020,99189,135230,36041,172042
388,63213,28509,96652,99187,57018,99187,135225,36038,172040
